00041.34;CIL MT DUPL 7/8POL 22.00MM;85,7
00041.34;CIL MT DUPL 7/8POL 22.00MM;85,7
00041.35;CIL MT DUPL 1POL 25.40MM;266,055
00041.35;CIL MT DUPL 1POL 25.40MM;266,055
00041.37;CIL MT DUPL 15/16POL 23.81MM;121,83
00041.37;CIL MT DUPL 15/16POL 23.81MM;121,83
00041.38;CIL MT DUPL 1POL 25.40MM;155,05
00041.38;CIL MT DUPL 1POL 25.40MM;155,05
00041.39;CIL MT DUPL 7/8POL 22.22MM;327,335
00041.40;CIL MT DUPL 15/16POL 23.81MM;76,705
00041.40;CIL MT DUPL 15/16POL 23.81MM;76,705
00041.41;CIL MT DUPL 7/8POL 22.22MM;119,41
00041.45;CIL MT DUPL 13/16POL 20.63MM;195,7
00041.45;CIL MT DUPL 13/16POL 20.63MM;195,7
00041.46;CIL MT SIMP 1POL 25.40MM;167,78
00041.49;CIL MT DUPL 20MM;156,74
00041.5;CIL MT DUPL S RESERV 13/16 6 SAI;59,79
00041.5;"CIL MT DUPL S RESERV 13/16"" 6 SAI";59,79
00041.50;CIL MT 20MM;121,92
00041.51;CIL MT;194,835
00041.70;CIL MT DUPL;119,805
00041.72;CIL MT DUPL 20.64MM;160,305
00041.8;CIL MT DUPL S RESERV;59,105
00042.12;HIDROVACUO 200MM;194,605
00042.14;HIDROVACUO 200MM;177,37
00042.15;HIDROVACUO 200MM NN 02687.25;160,835
00042.16;HIDROVACUO 230MM;175,545
00042.17;HIDROVACUO 225MM;369,04
00042.17;HIDROVACUO 225MM;369,04
00042.19;HIDROVACUO 230MM;159,375
00042.21;HIDROVACUO 230MM;197,485
00042.25;HIDROVACUO 200MM;217,655
00042.26;HIDROVACUO 200MM;221,935
00042.27;HIDROVACUO;174,965
00042.28;HIDROVACUO;187,8
00042.29;HIDROVACUO;173,35
00042.3;HIDROVACUO 200MM;149,02
00042.31;HIDROVACUO 200MM C CIL MT S ESF;162,375
00042.32;HIDROVACUO 230MM;207,85
00042.33;HIDROVACUO 200MM NN 02687.39;162,97
00042.36;HIDROVACUO 200MM NN 02687.16;146,295
00042.38;HIDROVACUO 225MM;214,37
00042.40;HIDROVACUO 230MM NN 02687.14;127,975
00042.40;HIDROVACUO 230MM NN 02687.14;127,975
00042.40;HIDROVACUO 230MM NN 02687.14;127,975
00042.41;HIDROVACUO 230MM;235,59
00042.42;HIDROVACUO;199,555
00042.5;HIDROVACUO 230MM;2297,41
00043.11;REP PINCA PARC DT 54MM;6,09
00043.11;REP PINCA PARC DT 54MM;6,09
00043.11;REP PINCA PARC DT 54MM;6,09
00043.11;REP PINCA PARC DT 54MM;6,09
00043.12;REP PINCA PARC DT;11,325
00043.13;REP PINCA PARC DT;27,29
00043.14;REP PINCA PARC DT;8,25
00043.14;REP PINCA PARC DT 44MM;8,25
00043.16;REP PINCA PARC DT;7,77
00043.16;REP PINCA PARC DT;7,77
00043.16;REP PINCA PARC DT;7,77
00043.17;REP PINCA COMP DT E C PISTAO;78,285
00043.17;REP PINCA COMP DT E C PISTAO;78,285
00043.17;REP PINCA COMP DT E C PISTAO;78,285
00043.18;REP PINCA PARC DT;13,805
00043.18;REP PINCA PARC DT;13,805
00043.19;REP PINCA PARC DT;4,945
00043.19;REP PINCA PARC DT;4,945
00043.2;PRATO FR TS E COMP;73,825
00043.20;REP PINCA PARC TS 35MM;20,915
00043.20;REP PINCA PARC TS 35MM;20,915
00043.21;REP PINCA PARC TS 28MM;13,005
00043.22;REP PINCA PARC TS 40MM;13,005
00043.26;REP PINCA COMP DT 57MM;226,765
00043.27;REP PINCA COMP DT JG 1L 4PCS;257,71
00043.28;REP PINCA COMP DT;40,44
00043.28;REP PINCA COMP DT;40,44
00043.28;REP PINCA COMP DT;40,44
00043.28;REP PINCA COMP DT;40,44
00043.29;REP PINCA COMP DT;120,975
00043.31;REP PINCA COMP DT;55,16
00043.33;REP PINCA COMP DT;147,725
00043.35;REP PINCA COMP DT;92,19
00043.35;REP PINCA COMP DT 48MM;92,19
00043.39;REP PINCA COMP DT MD PISTAO 48MM;69,225
00043.39;REP PINCA COMP DT MD PISTAO 48MM;69,225
00043.39;REP PINCA COMP DT MD PISTAO 48MM;69,225
00043.40;REP PINCA COMP DT MD PISTAO 54MM;70,165
00043.40;REP PINCA COMP DT MD PISTAO 54MM;70,165
00043.40;REP PINCA COMP DT MD PISTAO 54MM;70,165
00043.40;REP PINCA COMP DT MD PISTAO 54MM;70,165
00043.42;REP PINCA COMP TS;13,005
00043.45;REP PINCA COMP DT;74,155
00043.45;REP PINCA COMP DT 44MM;74,155
00043.47;REP PINCA COMP;48,78
00043.48;REP PINCA COMP;31,61
00043.49;REP PINCA COMP;55,275
00043.49;REP PINCA COMP;55,275
00043.5;REP PINCA PARC DT 48MM;18,46
00043.50;REP PINCA COMP;48,78
00043.6;REP PINCA PARC DT 48MM;16,905
00043.7;REP PINCA PARC DT 57MM;24,55
00043.8;REP PINCA PARC DT 57MM;35,35
00043.9;REP PINCA PARC DT;4,685
00043.90;REP FIX PASTILHA;7,875
00044.3;REP CENT SAP JG 1L COMP;11,225
00044.3;REP CENT SAP JG 1L COMP;11,225
00044.4;MOLA PAST;7,875
00044.5;MOLA PAST;9,34
00044.9;MOLA PAST;13,005
00046.1;REP CIL RD TS;8,01
00046.14;REGULAGEM AUTOM D E;40,86
00046.21;REP CIL MT DUPL;26,045
00047.13;SAPATA C LONA COLADA TS JG;47,56
00047.14;SAPATA C LONA COLADA TS JG;168,36
00047.2;REP CENT C MOLA SAP TS D E 28MM;14,035
00047.3;REP CENT SAP TS C MOLA 2L JG;13,69
00047.7;SAPATA C LONA COLADA TS JG;53,695
00048.1;PARAFUSO SANG C GUARDA PO;13,005
00048.12;REP CENT SAP JG 1L;14,035
00049.1;MOLA SUPORTE CARCACA PINCA DT JG 2;4,96
00049.2;MOLA SUPORTE CARCACA PINCA DT JG 2;14,27
00049.2;MOLA SUPORTE CARCACA PINCA DT JG 2;14,27
00049.2;MOLA SUPORTE CARCACA PINCA DT JG 2;14,27
00049.7;BUCHA PINO GUIA PINCA DT;12,355
00049.9;BUCHA PINO GUIA PINCA DT JG 2;16,445
00049.9;BUCHA PINO GUIA PINCA DT JG 2;16,445
00049.9;BUCHA PINO GUIA PINCA DT JG 2;16,445
00049.9;BUCHA PINO GUIA PINCA DT JG 2;16,445
00049.9;BUCHA PINO GUIA PINCA DT JG 2;16,445
00051.;CRUZETA;57,37
00051.;CRUZETA;57,37
00051.;CRUZETA;57,37
00051.1;CRUZETA;56,095
00051.1;CRUZETA;56,095
00051.10;CRUZETA;73,845
00051.10;CRUZETA;73,845
00051.11;CRUZETA;82,365
00051.11;CRUZETA;82,365
00051.11;CRUZETA;82,365
00051.11;CRUZETA;82,365
00051.12;CRUZETA;225,93
00051.12;CRUZETA;225,93
00051.2;BASE MTR DT E;120,555
00051.20;BASE MTR DT D;120,16
00051.20;BASE MTR DT D;120,16
00051.21;BASE MTR DT E;125,02
00051.21;BASE MTR DT E;125,02
00051.4;BASE MTR TS CX MAR;88,035
00051.4;BASE MTR TS CX MAR;88,035
00051.6;BASE MTR DT E;141,615
00052.;CRUZETA;50,38
00052.;CRUZETA;50,38
00052.;CRUZETA;50,38
00052.;CRUZETA;50,38
00052.;CRUZETA;50,38
00052.1;CRUZETA NAKATA;19,385
00052.1;CRUZETA NAKATA;19,385
00052.1;CRUZETA NAKATA;19,385
00052.1;CRUZETA NAKATA;19,385
00052.1;CRUZETA NAKATA;19,385
00053.;CRUZETA;46,17
00053.;CRUZETA;46,17
00053.;CRUZETA;46,17
00053.;CRUZETA;46,17
00053.;CRUZETA;46,17
00053.;CRUZETA;46,17
00053.;CRUZETA;46,17
00053.1;CRUZETA NAKATA;24,675
00053.1;CRUZETA NAKATA;24,675
00053.1;CRUZETA NAKATA;24,675
00053.1;CRUZETA NAKATA;24,675
00053.1;CRUZETA NAKATA;24,675
00053.1;CRUZETA NAKATA;24,675
00053.10;CRUZETA;49,075
00053.11;CRUZETA;127,3
00053.4;CRUZETA;79,58
00053.4;CRUZETA;79,58
00053.6;CRUZETA;150,125
00053.6;CRUZETA;150,125
00053.8;CRUZETA;161,215
00053.8;CRUZETA;161,215
00053.8;CRUZETA;161,215
00054.;CRUZETA;73,605
00054.;CRUZETA;73,605
00054.1;CRUZETA NAKATA;27,565
00055.;CRUZETA;65,105
00055.;CRUZETA;65,105
00055.;CRUZETA;65,105
00055.;CRUZETA;65,105
00055.;CRUZETA;65,105
00055.1;CRUZETA;188,38
00055.1;CRUZETA;188,38
00055.1;CRUZETA;188,38
00055.1;CRUZETA;188,38
00055.1;CRUZETA;188,38
00056.;CRUZETA;35,385
00056.;CRUZETA;35,385
00056.;CRUZETA;35,385
00056.;CRUZETA;35,385
00056.;CRUZETA;35,385
00056.;CRUZETA;35,385
00056.0;CRUZETA;51,595
00056.0;CRUZETA;51,595
00056.1;CRUZETA;142,52
00056.10;CRUZETA NAKATA;19,735
00056.10;CRUZETA NAKATA;19,735
00056.10;CRUZETA NAKATA;19,735
00056.10;CRUZETA NAKATA;19,735
00056.10;CRUZETA NAKATA;19,735
00056.4;CRUZETA;86,655
00056.4;CRUZETA;86,655
00056.4;CRUZETA;86,655
00056.5;CRUZETA;53,245
00056.5;CRUZETA;53,245
00057.;CRUZETA;93,33
00057.;CRUZETA;93,33
00057.;CRUZETA;93,33
00057.1;CRUZETA;161,735
00057.1;CRUZETA;161,735
00057.1;CRUZETA;161,735
00057.11;CRUZETA;213,75
00057.11;CRUZETA;213,75
00057.11;CRUZETA;213,75
00057.2;CRUZETA;185,23
00057.2;CRUZETA;185,23
00057.20;CRUZETA;236,725
00057.20;CRUZETA;236,725
